iter	Passed	Remaining
0	208	20616
1	257	12637
2	307	9940
3	356	8551
4	408	7767
5	462	7241
6	512	6802
7	561	6453
8	609	6158
9	656	5905
10	704	5703
11	753	5527
12	804	5383
13	851	5228
14	902	5116
15	953	5005
16	1007	4917
17	1054	4801
18	1103	4705
19	1150	4603
20	1202	4522
21	1250	4434
22	1301	4357
23	1350	4276
24	1394	4183
25	1444	4111
26	1494	4041
27	1556	4003
28	1607	3936
29	1657	3867
30	1706	3798
31	1757	3735
32	1808	3672
33	1858	3608
34	1906	3541
35	1955	3476
36	2004	3412
37	2056	3355
38	2104	3291
39	2149	3224
40	2199	3164
41	2251	3109
42	2308	3060
43	2362	3007
44	2414	2950
45	2463	2891
46	2512	2833
47	2564	2778
48	2616	2723
49	2667	2667
50	2719	2612
51	2767	2554
52	2813	2494
53	2866	2441
54	2918	2387
55	2964	2329
56	3015	2274
57	3064	2218
58	3116	2165
59	3166	2110
60	3218	2057
61	3270	2004
62	3319	1949
63	3372	1896
64	3419	1841
65	3470	1787
66	3520	1733
67	3576	1682
68	3631	1631
69	3683	1578
70	3730	1523
71	3784	1471
72	3832	1417
73	3886	1365
74	3935	1311
75	3988	1259
76	4037	1205
77	4089	1153
78	4140	1100
79	4187	1046
80	4235	993
81	4283	940
82	4335	888
83	4383	834
84	4437	783
85	4494	731
86	4546	679
87	4597	626
88	4647	574
89	4696	521
90	4749	469
91	4801	417
92	4866	366
93	4916	313
94	4969	261
95	5017	209
96	5070	156
97	5120	104
98	5176	52
99	5225	0
